#,Artist,Twitter,Instagram
1,yugo limbo,@yugsly,
2,AfroNinja360,@afroninja180,
3,IMP,@ThievinIMP,
4,Mike Picone,@mikeisapinecone,
5,DeDeur,@DeDeur_,
6,Warddraws,@warddraws,
7,Dylan Mann,@dylliewillie,
8,Ryan Storm,@RyanStormah,
9,Spectrotoons,@spectrotoons,
10,An Axe,@AnAxeDraws,
11,Chelsea,@thankscocoa,
12,Seanatar,@seanatar,
13,Jaquin,@Jaquin_S,
14,Hochigan,@HochiganThemeat,
15,Darkdarren,@darkdarrena,
16,Jack Evans,@Moonmanunit42,
17,Keegan McFly,@keeganmcfly,
18,boneax,@volkasthunters,
19,Roger,@RogerLOX,
20,Andre,@coolprinter24,
21,Lepy,@slurpbert,
22,PrimatePunk,@PrimatePunk,
23,Pine,@PineappleBank,
24,Logan Phresh,@LoganPhresh,
25,Raniery Oliveira,@RaniSagaz,
26,Jacob Lenard,@JacobLenstar,
27,Ben Saint,@ItsAllSoUgly,
28,Matthew Shoemaker,@shoeshriner,shoeshriner
29,Ash,@AshKChoi,
30,Hannah,@rainybleuu,
31,Bella,@hello_nymphish,
32,Steve,@OyeOyeEsteban,
33,Jon Sherin,@jonsherin_,
34,Shayla,@stegotorres,
35,Animator320,@animator320,animator320
36,Carl,@CarlLeCat,
37,Nissa,@nissaelise,
38,Elle,@smeIIe,
39,Kimi,@kimispice,
40,TitTat,@jazzarcana,
41,Owen Fishback,@lotusfishicoot,
42,Fantishow,@fantishow,
43,Jon,@jonstraightaway,
44,Little Dipster,@littledipster,
45,Ivan,@ivanalmighty,
46,Iandef,@ian_sampletext,
47,Tadpole,@habanerotadpole,
48,Lukas Barrera,@Lajbros,
49,Ethan Menegakis,@EathanCool,
50,Atrox,@AtroxChobatsu,
51,robot-jones,@robot-jones,
52,Rwappin,@rwappin,
53,Urbs,@UrbsNG,
54,Pash,@taterderg,
55,Zach,@zachyouidiot,
56,Andrew Kepple,@TmsT,
57,Kanti,@RoboKanti,
58,Chris Gassler,@spinalpalm,
59,Papalegba,@datweasel_life,datweasel_life
60,Wes,@wesenns,
,,,
,,,
,,,
BG Artist,DAXE,@voidknife @glassbeachband,
Artist of Coding,Brian Ferch,@ReefBlowPlay,
Extra Contribution,Andobiki,@andobiki,
Extra Contribution,Jeremy,@anuswarhol,
