#,Artist,Twitter(ID),Instagram(ID),Youtube(Link),Newgrounds(Link),Preferred social media
1,yugo limbo,@yugsly,yugsly,https://www.youtube.com/user/Pharmatara/,,
2,AfroNinja360,@afroninja180,afroninja360,https://www.youtube.com/user/themoviemistro,https://afroninja360.newgrounds.com/,
3,IMP,@ThievinIMP,,,https://imp.newgrounds.com/,
4,Mike Picone,@mikeisapinecone,worldsbestmichael,https://www.youtube.com/channel/UCrmtDFuXvhs9UDgcBUI13aQ,https://mikepicone.newgrounds.com/,
5,DeDeur,@DeDeur_,dedeur_,,,
6,Warddraws,@warddraws,warddraws,,,
7,Dylan Mann,@dylliewillie,dyljamesmann,https://www.youtube.com/channel/UCAdlqJdf1verzbCNyHwlQAw,https://dylanmann.newgrounds.com/,
8,Ryan Storm,@RyanStormah,,https://www.youtube.com/ryanstormcartoons,,
9,Spectrotoons,@spectrotoons,,https://www.youtube.com/c/spectrotoons,,
10,An Axe,@AnAxeDraws,,,https://horizon-hugger.newgrounds.com/,
11,Chelsea,@thankscocoa,thankscocoa,,,
12,Seanatar,@seanatar,,,,
13,Jaquin,@Jaquin_S,,,,
14,Hochigan,@HochiganThemeat,,,,
15,Darkdarren,@darkdarrena,durandarren,,,
16,Jack Evans,@Moonmanunit42,moonmanunit42,,,
17,Keegan McFly,@keeganmcfly,keeganmcfly,,,
18,boneax,@volkasthunters,,,,
19,Roger,@RogerLOX,rogerlox,,,
20,Andre,@coolprinter24,,,,
21,Lepy,@slurpbert,lepy_,,,
22,PrimatePunk,@PrimatePunk,,,,
23,Pine,@PineappleBank,pineapplebank,,,
24,Logan Phresh,@LoganPhresh,,,,
25,Raniery Oliveira,@RaniSagaz,,,,
26,Jacob Lenard,@JacobLenstar,,,https://jacoblenstar.newgrounds.com/,
27,Ben Saint,@ItsAllSoUgly,,,,
28,Matthew Shoemaker,@shoeshriner,shoeshriner,,,instagram
29,Ash,@shkimchoi,,,,
30,Hannah,@heydaigle,,,,
31,Bella,@hello_nymphish,,,,
32,Steve,@OyeOyeEsteban,,,,
33,Jon Sherin,@jonsherin_,,,https://jonathan.newgrounds.com/,
34,Shayla,@stegotorres,,,,
35,Animator320,@animator320,animator320,https://www.youtube.com/channel/UC-i3xSAcFuqq4zXmNYLZUdw,https://animator320.newgrounds.com/,instagram
36,Carl,@CarlLeCat,,,,
37,Nissa,@nissaelise,,,,
38,Elle,@smeIIe,,,https://smelle.newgrounds.com/,
39,Kimi,@kimispice,,,https://kimispice.newgrounds.com/,
40,TitTat,@jazzarcana,,,,
41,Owen Fishback,@lotusfishicoot,,,,
42,Fantishow,@fantishow,fantishow,,,
43,Jon,@jonstraightaway,jonstraightaway,,,
44,Little Dipster,@littledipster,lildipstergram,,https://littledipster.newgrounds.com/,
45,Ivan,@IvanA1mighty,,,,
46,Iandef,@ian_sampletext,fleecethrow,,,
47,Tadpole,@habanerotadpole,,,,
48,Lukas Barrera,@Lajbros,,,,
49,Eathan,@EathanCool,ethansbeyondcool,https://www.youtube.com/user/MrLeonshake,https://eathan.newgrounds.com/,
50,Atrox,@AtroxChobatsu,,,,
51,robot-jones,@nocontext_jones,,,https://robot-jones.newgrounds.com/,
52,Rwappin,@rwappin,,,,
53,Urbs,@UrbsNG,urbsng,https://www.youtube.com/user/TreeTurtleTV,https://urbs.newgrounds.com/,
54,Pash,@taterderg,,,,
55,Zach,@zachyouidiot,,,,
56,Andrew Kepple,@KingSluggy,,,https://skellua.newgrounds.com/,
57,Kanti,@RoboKanti,,,,
58,Chris Gassler,@spinalpalm,,,,
59,Papalegba,@datweasel_life,group_group_man,,,instagram
60,Wes,@wesenns,,,,
,,,,,,
,,,,,,
,,,,,,
BG Artist,DAXE,@voidknife @glassbeachband,,,,
Artist of Coding,Justbrian,@yeahjustbrian,,,,
Extra Contribution,Andobiki,@andobiki,,,,
Extra Contribution,Jeremy,@anuswarhol,,,,
